growing_site_name,address,has_chicago,add_chicago,full_address,Latitude,Longitude,location,ward,community,district_n,ownership,growing_site_website,public_contact_info,facebook,evidence_of_support_organizations,is_growing_site_fenced,is_growing_site_locked,food_producing,compost_system,is_growing_site_dormant,other_support_organization,season_extension_techniques,structures_and_features,water,choose_growing_site_types,community_garden,if_it_s_a_community_garden_is_it_collective_or_allotment,neighborhood
Lozano Elementary School (Rodolpho),1501 N Greenview,TRUE,Chicago IL,1501 N Greenview Chicago IL,41.9091303,-87.664937,"[41.9091303,-87.664937]",2,WEST TOWN,12,,,,,,,,FALSE,FALSE,FALSE,,,,,School Garden  Ornamental / Beautification,FALSE,,
Ogden Elementary School (William B.),24 W Walton St Chicago IL,FALSE,,24 W Walton St Chicago IL,41.9002924,-87.6290504,"[41.9002924,-87.6290504]",2,NEAR NORTH SIDE,12,,,,,,,,FALSE,FALSE,FALSE,,,,,,FALSE,,
Rowe Elementary School,1424 N Cleaver St  Chicago  IL 60642,FALSE,,1424 N Cleaver St  Chicago  IL 60642,41.907862,-87.6645564,"[41.907862,-87.6645564]",2,WEST TOWN,12,Chicago Public Schools,http://www.roweelementaryschool.org/,,N,The Kitchen Community  Gardeneers,,,TRUE,FALSE,FALSE,,,,,Food Donation  School Garden,FALSE,,
Haugan Elementary School,4540 N Hamlin Ave,TRUE,Chicago IL,4540 N Hamlin Ave Chicago IL,41.9637127,-87.7238106,"[41.9637126999999,-87.7238106]",35,ALBANY PARK,8,Chicago Public Schools,,,,The Kitchen Community,TRUE,FALSE,TRUE,FALSE,FALSE,,,,,School Garden,FALSE,,
Henry Elementary School Garden (Patrick),4250 N St. Louis Ave,TRUE,Chicago IL,4250 N St. Louis Ave Chicago IL,41.9586714,-87.7159066,"[41.9586714,-87.7159066]",35,IRVING PARK,8,,,,,,,,FALSE,FALSE,FALSE,,,,,School Garden,FALSE,,
Kimball Medill Corner Farm,2318 N Kimball Ave,TRUE,Chicago IL,2318 N Kimball Ave Chicago IL,41.9235886,-87.7123657,"[41.9235886,-87.7123657]",35,LOGAN SQUARE,8,,http://www.cornerfarm.org/kimball-medill/,,,,FALSE,FALSE,TRUE,,FALSE,,,Compost System,Hose connected to private property,Community Garden  Pantry Garden,,Allotment  Collective,
Mindful Living,3323 N Drake Ave,TRUE,Chicago IL,3323 N Drake Ave Chicago IL,41.94188,-87.7160212,"[41.94188,-87.7160212]",35,AVONDALE,8,NeighborSpace,http://mindfullivingchicago.blogspot.com/,,,,FALSE,FALSE,TRUE,,FALSE,,Hoop house,Compost System  Seating Area  Shed / Storage box  Artwork / Sculptures,No apparent water source,Community Garden,,Collective,
Monticello Garden,2227 N Monticello Ave,TRUE,Chicago IL,2227 N Monticello Ave Chicago IL,41.9218246,-87.7176657,"[41.9218246,-87.7176657]",35,LOGAN SQUARE,8,NeighborSpace,http://monticellocommunitygarden.com/,,https://www.facebook.com/monticellogarden,,TRUE,FALSE,TRUE,,FALSE,,,Compost System  Seating Area  Shed / Storage box  Electricity Outlet  Information Kiosk,On site water source  Rain collection system ( rain barrels  cisterns)  Hose connected to private property,Community Garden  Ornamental / Beautification,,Collective,
Monroe Elementary School Garden (James),3651 W Schubert Ave Chicago IL,FALSE,,3651 W Schubert Ave Chicago IL,41.929614,-87.7188009,"[41.929614,-87.7188008999999]",35,LOGAN SQUARE,8,,,,,,,,FALSE,FALSE,FALSE,,,,,School Garden  Ornamental / Beautification,FALSE,,
Mozart Elementary School (Wolfgang A.),2200 N Hamlin Chicago IL,FALSE,,2200 N Hamlin Chicago IL,41.9213348,-87.7224165,"[41.9213348,-87.7224165]",35,LOGAN SQUARE,8,,,,,,,,FALSE,FALSE,FALSE,,,,,,FALSE,,
Paradise Garden on Drake,2214 N Drake Ave  Chicago  IL  60647,FALSE,,2214 N Drake Ave  Chicago  IL  60647,41.9216231,-87.7155179,"[41.9216231,-87.7155179]",35,LOGAN SQUARE,8,NeighborSpace,,,,,TRUE,TRUE,,FALSE,FALSE,,,,,,,Collective,
Murphy Elementary School Garden (John B.),3539 W Grace St,TRUE,Chicago IL,3539 W Grace St Chicago IL,41.9495638,-87.7171077,"[41.9495638,-87.7171077]",35,IRVING PARK,8,,,,,,,,FALSE,FALSE,FALSE,,,,,School Garden  Ornamental / Beautification,FALSE,,
Nixon Elementary School (William P.),2121 N Keeler Ave Chicago IL,FALSE,,2121 N Keeler Ave Chicago IL,41.9195512,-87.7310365,"[41.9195512,-87.7310365]",35,CHICAGO,8,,,,,,,,FALSE,FALSE,FALSE,,,,,,FALSE,,
Earl's Community Garden,8530 S Harvard Ave,TRUE,Chicago IL,8530 S Harvard Ave Chicago IL,41.7351253,-87.6331325,"[41.7351253,-87.6331325]",21,ROSELAND,4,,,,,,TRUE,TRUE,TRUE,,FALSE,,,,Hose connected to private property,Community Garden  Single-tender Garden,,Collective,
Calumet Career Academy,8131 S May,TRUE,Chicago IL,8131 S May Chicago IL,41.7458355,-87.6520244,"[41.7458355,-87.6520244]",21,AUBURN GRESHAM,3,,,,,,,,FALSE,FALSE,FALSE,,,,,School Garden,FALSE,,
Burlin's Garden,9236 S Loomis St,TRUE,Chicago IL,9236 S Loomis St Chicago IL,41.7256227,-87.6582208,"[41.7256227,-87.6582208]",21,CHICAGO,4,,,,,,FALSE,FALSE,TRUE,,FALSE,,,,Hose connected to private property,Community Garden  Single-tender Garden,,Collective,
Gaia Community Garden,8918 S Green St,TRUE,Chicago IL,8918 S Green St Chicago IL,41.7319032,-87.6451162,"[41.7319032,-87.6451161999999]",21,AUBURN GRESHAM,4,,http://www.gaia-movement.org/TextPage.asp?TxtID=390&SubMenuItemID=103&MenuItemID=47,,https://www.facebook.com/GaiaMovement,,TRUE,TRUE,TRUE,,FALSE,,,Compost System  Grill / Cooking Station  Seating Area  Shed / Storage box  Covered Area,Hose connected to private property,Demo / Training / Program,,Collective,
Mary Helen Community Garden,9763 S Racine Ave,TRUE,Chicago IL,9763 S Racine Ave Chicago IL,41.7164986,-87.6526609,"[41.7164986,-87.6526609]",21,CHICAGO,4,,www.griffinpropertymgnt.com,,https://www.facebook.com/pages/Mary-Helen-Community-Garden/361305663940687,,TRUE,TRUE,TRUE,,FALSE,Griffin Property Management,,Grill / Cooking Station  Seating Area  Shed / Storage box  Artwork / Sculptures,Rain collection system ( rain barrels  cisterns)  Hose connected to private property,Community Garden,,Collective,
TUCC George Washington Carver Garden,443 W 95th St,TRUE,Chicago IL,443 W 95th St Chicago IL,41.7212906,-87.6344363,"[41.7212906,-87.6344362999999]",21,CHICAGO,4,,www.trinitychicagoblog.org,,,,TRUE,TRUE,TRUE,,FALSE,,,Compost System  Seating Area  Shed / Storage box  Educational Signage,Rain collection system ( rain barrels  cisterns)  Hose connected to private property,Community Garden  Congregation Garden,,Collective,
,410 W 88th St,TRUE,Chicago IL,410 W 88th St Chicago IL,41.734948,-87.634221,"[41.734948,-87.634221]",21,AUBURN GRESHAM,4,,,,,,TRUE,TRUE,TRUE,,FALSE,,,,,Community Garden  Community Farm,,Allotment,
Fort Dearborn Elementary School,9025 S Throop St Chicago IL,FALSE,,9025 S Throop St Chicago IL,41.7299334,-87.6550042,"[41.7299334,-87.6550042]",21,CHICAGO,4,Chicago Public Schools,,,,The Kitchen Community,TRUE,FALSE,TRUE,FALSE,FALSE,,,Artwork / Sculptures  Seating Area  Teaching Area  Handicap accessible bed  Covered Area,Irrigation System  On site water source,School Garden,FALSE,,
Gresham School (Walter Q.),8524 S Green St Chicago IL,FALSE,,8524 S Green St Chicago IL,41.7387041,-87.6453953,"[41.7387041,-87.6453952999999]",21,AUBURN GRESHAM,4,,,,,,,,FALSE,FALSE,FALSE,,,,,School Garden  Ornamental / Beautification,FALSE,,
Jackson Elementary School (Mahalia),917 W 88th Street Chicago IL,FALSE,,917 W 88th Street Chicago IL,41.7338625,-87.6468801,"[41.7338625,-87.6468800999999]",21,AUBURN GRESHAM,4,Chicago Public Schools,,,,The Kitchen Community,TRUE,FALSE,TRUE,FALSE,FALSE,,,Teaching Area  Handicap accessible bed  Artwork / Sculptures  Covered Area  Seating Area,Irrigation System  On site water source,School Garden,FALSE,,
Simeon Career Academy High School (Neal F.),8147 S Vincennes Ave Chicago IL,FALSE,,8147 S Vincennes Ave Chicago IL,41.7455554,-87.6345246,"[41.7455554,-87.6345245999999]",21,CHATHAM,4,Chicago Public Schools,,,,The Kitchen Community,FALSE,FALSE,TRUE,FALSE,FALSE,,,Artwork / Sculptures  Covered Area  Seating Area  Teaching Area  Handicap accessible bed,Irrigation System  On site water source,School Garden,FALSE,,
Turner-Drew Language Academy,9300 S Princeton Ave,TRUE,Chicago IL,9300 S Princeton Ave Chicago IL,41.7257236,-87.6304858,"[41.7257235999999,-87.6304858]",21,ROSELAND,4,,,,,,,,FALSE,FALSE,FALSE,,,,,School Garden,FALSE,,
One Straw Garden,3337 W Douglas Blvd,TRUE,Chicago IL,3337 W Douglas Blvd Chicago IL,41.862138,-87.709403,"[41.862138,-87.709403]",24,NORTH LAWNDALE,2,,,,,,FALSE,FALSE,TRUE,,FALSE,,,Compost System  Water Management,No apparent water source,Community Garden  Orchard,,Collective,
Troy Community Garden,1842 S Troy St,TRUE,Chicago IL,1842 S Troy St Chicago IL,41.85599,-87.7044456,"[41.85599,-87.7044456]",24,NORTH LAWNDALE,2,NeighborSpace,http://neighbor-space.org/2012/04/21/1800-south-troy-block-club-garden/,,,,TRUE,TRUE,TRUE,,FALSE,,,Compost System  Seating Area,On site water source,Community Garden  Ornamental / Beautification,,Unclear,
African Heritage Garden,1241 S Central Park,TRUE,Chicago IL,1241 S Central Park Chicago IL,41.865024,-87.715016,"[41.865024,-87.7150159999999]",24,NORTH LAWNDALE,2,NeighborSpace,http://neighbor-space.org/2011/05/19/african-heritage-garden/,,,,TRUE,TRUE,TRUE,,FALSE,,,Compost System  Seating Area  Shed / Storage box  Artwork / Sculptures  Covered Area,On site water source,Community Garden,,Collective,
Avers Community Garden,2200 S Avers Ave,TRUE,Chicago IL,2200 S Avers Ave Chicago IL,41.8516064,-87.7211122,"[41.8516064,-87.7211122]",24,NORTH LAWNDALE,2,,,,,,TRUE,TRUE,TRUE,,FALSE,,,Seating Area  Play Area  Performance Area  Shed / Storage box  Artwork / Sculptures  Gazebo,Rain collection system ( rain barrels  cisterns)  Hose connected to private property,Community Garden  Ornamental / Beautification,,Collective,
Bay Bay's Peace Garden,3407 W 16th St,TRUE,Chicago IL,3407 W 16th St Chicago IL,41.8588946,-87.7106309,"[41.8588946,-87.7106309]",24,NORTH LAWNDALE,2,,http://loudgradeproducesquad.org/locations/chicago/homan-16th,,https://www.facebook.com/LoudGradePS,,FALSE,FALSE,TRUE,,FALSE,Loud Grade Produce Squad,,Compost System  Educational Signage,Rain collection system ( rain barrels  cisterns),Community Garden,,Collective,
Better Boys Foundation,1512 S Pulaski Rd  Chicago  IL 60623  USA,FALSE,,1512 S Pulaski Rd  Chicago  IL 60623  USA,41.8603857,-87.725477,"[41.8603856999999,-87.725477]",24,NORTH LAWNDALE,2,,http://www.betterboys.org/,,https://www.facebook.com/Better.Boys.Foundation,,TRUE,FALSE,TRUE,,FALSE,Better Boys Foundation,,Compost System,Hose connected to private property,Demo / Training / Program,,Collective,
CCA Student Academy Garden (Youth Connection Charter School),1242 S Harding Ave,TRUE,Chicago IL,1242 S Harding Ave Chicago IL,41.8648693,-87.7243496,"[41.8648693,-87.7243496]",24,NORTH LAWNDALE,2,Private,http://ccaacademy.org/,CCA Academy 773-762-2272,,,TRUE,TRUE,TRUE,,FALSE,CCA Student Academy  Youth Connection Charter School,Greenhouse,Shed / Storage box  Electricity Outlet  Artwork / Scultptures,Hose connected to private property,Community Garden  Demo / Training / Program  Ornamental / Beautification  Habitat / Conservation / Prairie  School Garden,TRUE,Collective,
Central Park Community Garden,2100 S Central Park Ave,TRUE,Chicago IL,2100 S Central Park Ave Chicago IL,41.8533508,-87.7153561,"[41.8533508,-87.7153561]",24,NORTH LAWNDALE,2,NeighborSpace,http://neighbor-space.org/2011/05/19/2100-south-central-park-block-club-garden/,,,,TRUE,FALSE,TRUE,,FALSE,,,Seating Area,On site water source,Community Garden  Ornamental / Beautification,,Unclear,
Crystal's Peace Garden,3852 W Polk St,TRUE,Chicago IL,3852 W Polk St Chicago IL,41.8709983,-87.7224444,"[41.8709983,-87.7224444]",24,CHICAGO,2,NeighborSpace,http://neighbor-space.org/2011/05/19/crystals-peace-garden/,,,NeighborSpace  NeighborSpace  NeighborSpace  Greencorps Chicago  Greencorps Chicago  Chicago Park District,TRUE,TRUE,TRUE,TRUE,FALSE,,,Seating Area  Seating Area  Compost System,On site water source,Community Garden  Ornamental / Beautification,TRUE,Unclear,
Garden of Hope,2131 S St Louis Ave,TRUE,Chicago IL,2131 S St Louis Ave Chicago IL,41.8526051,-87.7120822,"[41.8526051,-87.7120822]",24,NORTH LAWNDALE,2,,www.westlawnyouthnetwork.org,,https://www.facebook.com/pages/Westlawn-Youth-Network/155553694964,,TRUE,FALSE,TRUE,,FALSE,Westlawn Gospel Chapel,,Compost System  Seating Area  Gazebo,Hose connected to private property,Community Garden  Food Donation  Congregation Garden  Ornamental / Beautification,,Collective,
Lawndale Community Church Garden,3810 Ogden Ave,TRUE,Chicago IL,3810 Ogden Ave Chicago IL,41.853028,-87.7204151,"[41.8530279999999,-87.7204151]",24,NORTH LAWNDALE,2,,http://www.lawndalechurch.org/,,https://www.facebook.com/lawndalecommunitychurch,,TRUE,FALSE,TRUE,,FALSE,Lawndale Community Church,,Seating Area,Hose connected to private property,Community Garden  Food Donation  Congregation Garden,,Collective,
1900 S. Ridgeway Enabling Garden,1900 S Ridgeway Ave,TRUE,Chicago IL,1900 S Ridgeway Ave Chicago IL,41.8548221,-87.7191399,"[41.8548221,-87.7191399]",24,NORTH LAWNDALE,2,NeighborSpace,http://neighbor-space.org/2011/05/19/1900-s-ridgeway-enabling-garden-2/,,https://www.facebook.com/nlgreeningcommittee?ref=br_tf,NeighborSpace,TRUE,FALSE,TRUE,,FALSE,North Lawndale Greening Committee,,Seating Area  Gazebo,On site water source,Community Garden,,Collective,
MLK District Garden,3732 W 16th St  Chicago  IL  60623,FALSE,,3732 W 16th St  Chicago  IL  60623,41.859116,-87.719223,"[41.859116,-87.719223]",24,NORTH LAWNDALE,2,NeighborSpace,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,,,Shed / Storage box  Seating Area,Hose connected to private property,Community Garden  Food Donation,,Collective,
Operation Brotherhood Serenity Garden,3745 W Ogden Ave,TRUE,Chicago IL,3745 W Ogden Ave Chicago IL,41.852792,-87.7190895,"[41.852792,-87.7190895]",24,NORTH LAWNDALE,2,,,,,,TRUE,TRUE,FALSE,,TRUE,Operation Brotherhood,,,,Community Garden,,Collective,
preServe Garden,1231 S Central Park,TRUE,Chicago IL,1231 S Central Park Chicago IL,41.8653303,-87.7150695,"[41.8653303,-87.7150695]",24,NORTH LAWNDALE,2,NeighborSpace,http://neighbor-space.org/2012/06/23/preserve-garden/,,,,TRUE,FALSE,TRUE,,FALSE,North Lawndale Greening Committee Chicago Honey Coop Slow Food Chicago,,Compost System  Information Kiosk,No apparent water source,Food Donation  Demo / Training / Program,,Collective,
Sankofa House Community Garden,4041 W Roosevelt Rd,TRUE,Chicago IL,4041 W Roosevelt Rd Chicago IL,41.8659526,-87.7268563,"[41.8659526,-87.7268563]",24,NORTH LAWNDALE,2,,http://sankofasafechild.org/cms/sankofa-house,,,,TRUE,TRUE,TRUE,,FALSE,Sankofa House,,Seating Area,Hose connected to private property,Community Garden  (Assisted) Housing,,Collective,
Slumbusters Garden,1960 S Trumbull Ave,TRUE,Chicago IL,1960 S Trumbull Ave Chicago IL,41.8538394,-87.7115174,"[41.8538394,-87.7115173999999]",24,NORTH LAWNDALE,2,,,,,,TRUE,TRUE,TRUE,,FALSE,,,Compost System  Seating Area  Artwork / Sculptures,Hose connected to private property,Community Garden  Ornamental / Beautification,,Allotment,
,1258 S Tripp Ave,TRUE,Chicago IL,1258 S Tripp Ave Chicago IL,41.864387,-87.731598,"[41.864387,-87.7315979999999]",24,NORTH LAWNDALE,2,,,,,,FALSE,FALSE,FALSE,,TRUE,,,Grill / Cooking Station  Seating Area  Play Area  Covered Area,Hose connected to private property,Community Garden,,,
,1923 S Troy St,TRUE,Chicago IL,1923 S Troy St Chicago IL,41.8546944,-87.7038254,"[41.8546944,-87.7038254]",24,NORTH LAWNDALE,2,,,,,,TRUE,FALSE,TRUE,,FALSE,,Cold Frame,Grill / Cooking Station  Fire Pit  Seating Area,No apparent water source,Ornamental / Beautification,,Collective,
,3729 W Arthington St,TRUE,Chicago IL,3729 W Arthington St Chicago IL,41.869543,-87.718517,"[41.869543,-87.7185169999999]",24,NORTH LAWNDALE,2,,,,,,TRUE,TRUE,TRUE,,FALSE,,,,Hose connected to private property,Community Garden,,Collective,
Gregory Elementary Math & Science Academy School Garden (John Milton),3715 West Polk Street Chicago IL,FALSE,,3715 West Polk Street Chicago IL,41.8704679,-87.71857,"[41.8704679,-87.71857]",24,CHICAGO,2,Chicago Public Schools,,,,The Kitchen Community,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,School Garden,FALSE,,
Herzl Elementary School (Theodore),3711 W Douglas Blvd,TRUE,Chicago IL,3711 W Douglas Blvd Chicago IL,41.8618559,-87.7183393,"[41.8618558999999,-87.7183393]",24,NORTH LAWNDALE,2,,,,,,,,FALSE,FALSE,FALSE,,,,,,FALSE,,
Johnson Elementary School Garden (James Weldon),1420 S Albany Ave,TRUE,Chicago IL,1420 S Albany Ave Chicago IL,41.8619069,-87.7035204,"[41.8619069,-87.7035204]",24,NORTH LAWNDALE,2,,,,,,,,TRUE,FALSE,FALSE,,,,,School Garden,FALSE,,
Lawndale Elementary Community Academy,3500 W Douglas Blvd,TRUE,Chicago IL,3500 W Douglas Blvd Chicago IL,41.863198,-87.7133175,"[41.863198,-87.7133175]",24,NORTH LAWNDALE,2,,,,,,,,TRUE,FALSE,FALSE,,,,,School Garden,FALSE,,
Mason Elementary School (Roswell B.),4217 W 18th St,TRUE,Chicago IL,4217 W 18th St Chicago IL,41.8566421,-87.73095,"[41.8566420999999,-87.7309499999999]",24,NORTH LAWNDALE,2,,,,,,,,FALSE,FALSE,FALSE,,,,,School Garden  Ornamental / Beautification,FALSE,,
North Lawndale College Prep,1616 S Spaulding,TRUE,Chicago IL,1616 S Spaulding Chicago IL,41.8581675,-87.7081141,"[41.8581675,-87.7081141]",24,NORTH LAWNDALE,2,,,,,,,,FALSE,FALSE,FALSE,,,,,School Garden  Ornamental / Beautification,FALSE,,
Penn Elementary School (William),1616 S Avers Ave Chicago IL,FALSE,,1616 S Avers Ave Chicago IL,41.8581248,-87.7219563,"[41.8581248,-87.7219563]",24,NORTH LAWNDALE,2,,,,,,,,FALSE,FALSE,FALSE,,,,,,FALSE,,
Sumner Math & Science Community Academy,4320 W 5th Ave Chicago IL,FALSE,,4320 W 5th Ave Chicago IL,41.8710697,-87.7333447,"[41.8710697,-87.7333446999999]",24,CHICAGO,2,Chicago Public Schools,,,,The Kitchen Community,,,TRUE,FALSE,FALSE,,,,,School Garden,FALSE,,
Webster Elementary School (Daniel),4055 W Arthington,TRUE,Chicago IL,4055 W Arthington Chicago IL,41.8697045,-87.7270353,"[41.8697045,-87.7270353]",24,CHICAGO,2,,,,,,,,FALSE,FALSE,FALSE,,,,,School Garden,FALSE,,
York Alternative High School Sunshine Garden (Consuella B.),2700 S California Ave,TRUE,Chicago IL,2700 S California Ave Chicago IL,41.8425353,-87.6970908,"[41.8425353,-87.6970908]",24,CHICAGO,7,,,,,,,,TRUE,FALSE,FALSE,,,,,School Garden,FALSE,,
Lawndale Heritage Garden,1509 S Lawndale Ave  Chicago  IL 60623  USA,FALSE,,1509 S Lawndale Ave  Chicago  IL 60623  USA,41.8604333,-87.7173316,"[41.8604333,-87.7173316]",24,NORTH LAWNDALE,2,NeighborSpace,http://nlgreeningcommittee.org/,nlgreeningcommittee@gmail.com,https://www.facebook.com/nlgreeningcommittee,NeighborSpace,,,,,FALSE,North Lawndale Greening Committee,,,,,TRUE,,
Windy City Harvest Rodeo Farm,2600 West 26th Place,TRUE,Chicago IL,2600 West 26th Place Chicago IL,41.8439875,-87.6977015,"[41.8439875,-87.6977015]",24,CHICAGO,7,Private,https://www.chicagobotanic.org/windycityharvest/rodeo.php,,,Chicago Botanic Garden,TRUE,TRUE,TRUE,FALSE,FALSE,Cook County,,,,Urban Farm  Ornamental / Beautification  Habitat / Conservation / Prairie  Demo / Training / Program,FALSE,,
North Lawndale Youth Farm (Windy City Harvest),3539 W Ogden Ave,TRUE,Chicago IL,3539 W Ogden Ave Chicago IL,41.8546139,-87.7138634,"[41.8546139,-87.7138634]",24,NORTH LAWNDALE,2,NeighborSpace,http://www.chicagobotanic.org/greenyouthfarm/northlawndale/,,,NeighborSpace  Chicago Botanic Garden,TRUE,TRUE,TRUE,TRUE,FALSE,,,Farm Stand,,Pantry Garden  Urban Farm  Ornamental / Beautification  Demo / Training / Program  Orchard  Urban Agriculture Organization,FALSE,,
Joe-Ella Williams Memorial Garden,3817 W Flournoy St  Chicago  IL 60624  USA,FALSE,,3817 W Flournoy St  Chicago  IL 60624  USA,41.872342,-87.721125,"[41.872342,-87.721125]",24,CHICAGO,2,NeighborSpace,http://nlgreeningcommittee.org/,joeellagarden@neighborspace.org,https://www.facebook.com/nlgreeningcommittee,NeighborSpace,TRUE,FALSE,FALSE,,FALSE,North Lawndale Greening Committee,,,On site water source,Community Garden,TRUE,,
Velma Johnson Memorial Garden,3401 W Flournoy St  Chicago  IL 60624  USA,FALSE,,3401 W Flournoy St  Chicago  IL 60624  USA,41.8726167,-87.7108918,"[41.8726166999999,-87.7108918]",24,CHICAGO,2,NeighborSpace,,,,NeighborSpace,TRUE,FALSE,FALSE,,FALSE,,,,,,TRUE,,
Garden of Hope,3834 W Fillmore St  Chicago  IL 60624  USA,FALSE,,3834 W Fillmore St  Chicago  IL 60624  USA,41.868168,-87.7216588,"[41.868168,-87.7216588]",24,NORTH LAWNDALE,2,NeighborSpace,http://nlgreeningcommittee.org/,North Lawndale Greening Committee,https://www.facebook.com/nlgreeningcommittee,NeighborSpace,,,FALSE,,,,,,,Community Garden,TRUE,,
Betty Swan Tree Arboretum,3836 W Arthington St  Chicago  IL 60624  USA,FALSE,,3836 W Arthington St  Chicago  IL 60624  USA,41.8700472,-87.7217608,"[41.8700471999999,-87.7217608]",24,CHICAGO,2,NeighborSpace,http://nlgreeningcommittee.org/,,https://www.facebook.com/nlgreeningcommittee?ref=br_tf,NeighborSpace,TRUE,TRUE,FALSE,,FALSE,North Lawndale Greening Committee,,,,,TRUE,,
A Safe Haven Veteran's Harvest Garden,3902 W Arthington St  Chicago  IL 60624  USA,FALSE,,3902 W Arthington St  Chicago  IL 60624  USA,41.870107,-87.723224,"[41.870107,-87.723224]",24,CHICAGO,2,,,info@asafehaven.org,,Other,TRUE,FALSE,TRUE,TRUE,FALSE,A Safe Haven,Cold Frame,Compost System,Hose connected to private property,(Assisted) Housing  Food Donation,FALSE,Collective,
CYC ABC Polk Bros. Children's Garden,3415 W 13th Pl  Chicago  IL 60623  USA,FALSE,,3415 W 13th Pl  Chicago  IL 60623  USA,41.8638444,-87.7111424,"[41.8638444,-87.7111424]",24,NORTH LAWNDALE,2,Private,,Kimberly George,abc polk bros,OpenLands  Other,TRUE,TRUE,TRUE,TRUE,FALSE,CCGA  Lawndale Greening Committee,,Artwork / Sculptures  Compost System  Seating Area  Teaching Area,On site water source,Community Garden,TRUE,Unclear,
1900 S. Avers Block Club Garden,1900 S Avers Ave  Chicago  IL 60623  USA,FALSE,,1900 S Avers Ave  Chicago  IL 60623  USA,41.8548576,-87.7214597,"[41.8548576,-87.7214597]",24,NORTH LAWNDALE,2,NeighborSpace,,Darlene Williams 773-653-7884,,,TRUE,TRUE,FALSE,,,,,Gazebo,,,TRUE,,
Homan Rails Farm,3517 W Arthington St  Chicago  IL 60624  USA,FALSE,,3517 W Arthington St  Chicago  IL 60624  USA,41.8691727,-87.7139099,"[41.8691727,-87.7139098999999]",24,NORTH LAWNDALE,2,Private,homangrown.org/hrf,info@homangrown.org,https://www.facebook.com/homanrailsfarm/,,TRUE,FALSE,TRUE,TRUE,FALSE,Foundation for Homan Square,Hoop house,Compost System  Shed / Storage box  Seating Area,City Fire Hydrant,Urban Agriculture Organization  Urban Farm,FALSE,,
Fleming Branch School,4918 W 64th St,TRUE,Chicago IL,4918 W 64th St Chicago IL,41.7769576,-87.7455226,"[41.7769576,-87.7455226]",13,CLEARING,11,,,,,,,,TRUE,FALSE,FALSE,,,,,School Garden  Ornamental / Beautification  Habitat / Conservation / Prairie,FALSE,,
Hancock High School (John),4034 W 56th St,TRUE,Chicago IL,4034 W 56th St Chicago IL,41.791965,-87.7249573,"[41.791965,-87.7249573]",13,CHICAGO,7,,www.hancockhSorg/index.jsp,,,,,,TRUE,FALSE,FALSE,,,,,School Garden,FALSE,,
Hurley Elementary School (Edward N.),3849 W 69th Pl,TRUE,Chicago IL,3849 W 69th Pl Chicago IL,41.7666883,-87.7185271,"[41.7666883,-87.7185271]",13,WEST LAWN,11,,,,,,,,TRUE,FALSE,FALSE,,,,,School Garden,FALSE,,
Lee Elementary School Children's Garden (Henry),6448 S Tripp Ave,TRUE,Chicago IL,6448 S Tripp Ave Chicago IL,41.7753531,-87.729271,"[41.7753531,-87.729271]",13,WEST LAWN,11,Chicago Public Schools,,,,The Kitchen Community,,,TRUE,FALSE,FALSE,,,,,School Garden,FALSE,,
Pasteur Elementary School (Louis),5825 S Kostner,TRUE,Chicago IL,5825 S Kostner Chicago IL,41.7879833,-87.7322868,"[41.7879833,-87.7322868]",13,CHICAGO,11,,,,,,,,FALSE,FALSE,FALSE,,,,,School Garden  Ornamental / Beautification,FALSE,,
Dore Elementary School (John C.),6108 S Natoma Ave,TRUE,Chicago IL,6108 S Natoma Ave Chicago IL,41.7803905,-87.7878122,"[41.7803905,-87.7878121999999]",13,CLEARING,11,,,,,,,,FALSE,FALSE,FALSE,,,,,School Garden  Ornamental / Beautification,FALSE,,
Grimes Elementary School (Robert L),5450 West 64th Pl,TRUE,Chicago IL,5450 West 64th Pl Chicago IL,41.7756677,-87.7583892,"[41.7756677,-87.7583892]",13,CLEARING,11,Chicago Public Schools,,,,The Kitchen Community,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,School Garden  Ornamental / Beautification  Habitat / Conservation / Prairie,FALSE,,
Kennedy High School Garden (John F.),6325 W 56th St,TRUE,Chicago IL,6325 W 56th St Chicago IL,41.7903821,-87.7802629,"[41.7903821,-87.7802629]",13,GARFIELD RIDGE,11,,,,,,,,FALSE,FALSE,FALSE,,,,,School Garden  Ornamental / Beautification  Habitat / Conservation / Prairie,FALSE,,
N&U Homestead,6019 S Monitor Ave Chicago  IL 60638,FALSE,,6019 S Monitor Ave Chicago  IL 60638,41.782822,-87.7677794,"[41.782822,-87.7677794]",13,CLEARING,11,,,,,,,,,,,,,,,,,,
Minuteman Park Harvest Garden,5940 S Central Ave  Chicago  IL 60638  USA,FALSE,,5940 S Central Ave  Chicago  IL 60638  USA,41.7841694,-87.7623241,"[41.7841694,-87.7623241]",13,CLEARING,11,Chicago Park District,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,,,Teaching Area,On site water source,,FALSE,,
Valley Forge Park Harvest Garden,7001 W 59th St  Chicago  IL 60638  USA,FALSE,,7001 W 59th St  Chicago  IL 60638  USA,41.7844653,-87.7961988,"[41.7844653,-87.7961988]",13,CLEARING,11,Chicago Park District,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,,,,On site water source,Demo / Training / Program,FALSE,,
